Name(ENG),Name(KOR),Code,Type,Rarity,Recipe,Drop,Stat,Image Name
Pickaxe,곡괭이,PIC,Axe,Common,,"연 7,모 7,묘 7,숲 8",공격력 +15,Pickaxe.png
Hatchet,손도끼,HCH,Axe,Common,,"연 4,모 5,공 4",공격력 +25,Hatchet.png
Chain Scythe,사슬 낫,CSC,Axe,Uncommon,PIC+STC,,"공격력 +50,기본 공격 사거리 +0.2,",Chain Scythe.png
Battle Axe,전투 도끼,BAX,Axe,Uncommon,HCH+BAM,,"공격력 +47,",Battle Axe.png
Light Hatchet,경량화 도끼,LHA,Axe,Rare,BAX+FEA,,"공격력 +61,이동 속도 +0.1,",Light Hatchet.png
Reaper's Scythe,사신의 낫,RSC,Axe,Rare,CSC+SRO,,"공격력 +80,기본 공격 사거리 +0.5,",Reaper_s Scythe.png
Gigantic Axe,대부,GAX,Axe,Rare,BAX+STE,,"공격력 +110,이동 속도 -0.1,",Gigantic Axe.png
Beam Axe,빔 엑스,BEX,Axe,Epic,GAX+LAS,,"공격력 +137,시야 +4,이동 속도 -0.1,",Beam Axe.png
Santa Muerte,산타 무에르테,SMU,Axe,Epic,RSC+RBY,,"공격력 +100,생명력 흡수 +15%,최대 체력 +450,기본 공격 사거리 +0.5,",Santa Muerte.png
Scythe,스퀴테,SCY,Axe,Epic,RSC+GLD,,"공격력 +130,스킬 증폭 +18%,기본 공격 사거리 +1,",Scythe.png
Parashu,파라슈,PAR,Axe,Epic,LHA+진신사리,,"공격력 +115,쿨타임 감소 +15%,이동 속도 +0.2,",Parashu.png
Harpe,하르페,HAR,Axe,Epic,RSC+백우선,,"공격력 +125,기본 공격 사거리 +0.5,이동 속도 +0.1,스킬 증폭 +55,스킬 적중 시 치유 감소 -40%,",Harpe.png
Scissors,가위,SCI,Dagger,Common,,"골목길 7,병원 6,학교 6",공격력 +5,Scissors.png
Fountain Pen,만년필,FPE,Dagger,Common,,"고주 6,번화가 7,학교 7",공격력 +5,Fountain Pen.png
Kitchen Knife,식칼,KKN,Dagger,Common,,"항 4,호 4,절 5","공격력 +4, 이동 속도 +0.05",Kitchen Knife.png
Army Knife,군용 나이프,AKN,Dagger,Uncommon,KKN+BRA,,"공격력 +11,이동 속도 +0.08,",Army Knife.png
Rose Knife,장미칼,RKN,Dagger,Rare,AKN+FLO,,"공격력 +16,이동 속도 +0.1,쿨타임 감소 +10%,",Rose Knife.png
Carnwennan,카른웬난,CWN,Dagger,Epic,RKN+SRE,,"공격력 +17,체력 재생 +1.5,이동 속도 +0.1,기본 공격 추가 피해 +29,쿨타임 감소 +10%,",Carnwennan.png
Mount Slicer,파산검,MSL,Dagger,Epic,RKN+ASH,,"공격력 +30,이동 속도 +0.1,쿨타임 감소 +10%,스킬 증폭 +50,",Mount Slicer.png
Vibroblade,초진동나이프,VIB,Dagger,Epic,AKN+MOT,,"공격력 +42,공격 속도 + 30%,이동 속도 + 0.1,",Vibroblade.png
Fragarach,프라가라흐,FRA,Dagger,Legendary,AKN+FCO,,"공격력 +75,이동 속도 + 0.2,",Fragarach.png
Rusty Sword,녹슨 검,RSW,Two Handed Sword,Common,,"항 4,절 4,성 4",공격력 +11,Rusty Sword.png
Shamshir,샴쉬르,SHA,Two Handed Sword,Uncommon,RSW+LIG,,"공격력 +27,",Shamshir.png
Katana,일본도,KAT,Two Handed Sword,Rare,RSW+ISH,,"공격력 +35,",Katana.png
Masamune,마사무네,MAS,Two Handed Sword,Rare,KAT+OIL,,"공격력 +40,공격 속도 +15%",Masamune.png
Muramasa,무라마사,MUR,Two Handed Sword,Rare,KAT+GEM,,"공격력 +50,",Muramasa.png
Bastard Sword,바스타드 소드,BSW,Two Handed Sword,Rare,RSW+STE,,"공격력 +45,이동 속도 -0.1,",Bastard Sword.png
Jewel Sword,보검,JSW,Two Handed Sword,Rare,SHA+RBY,,"공격력 +35,최대 체력 +200",Jewel Sword.png
Thuan Thien,뚜언 띠엔,TTH,Two Handed Sword,Rare,BSW+TTS,,"공격력 + 77,방어력 + 25,이동 속도 -0.1,",Thuan Thien.png
Plasma Sword,플라즈마 소드,PSW,Two Handed Sword,Rare,BSW+LAS,,"공격력 + 75,시야 + 3,",Plasma Sword.png
Arondight,아론다이트,ARO,Two Handed Sword,Epic,MAS+CRS,,"공격력 + 50,기본 공격 추가 피해 + 25,공격 속도 + 25%,",Arondight.png
Excalibur,엑스칼리버,EXC,Two Handed Sword,Epic,JSW+HGR,,"공격력 + 60,최대 체력 + 400,체력 재생 +200%,",Excalibur.png
Monohoshizao,모노호시자오,MON,Two Handed Sword,Epic,MUR+BPR,,"공격력 + 70,생명력 흡수 + 18%,",Monohoshizao.png
Hovud,호푸어드,HOV,Two Handed Sword,Epic,JSW+GPI,,"공격력 + 45,최대 체력 + 300,치명타 확률 + 20%,",Hovud.png
Laevateinn,레바테인,LAE,Two Handed Sword,Legendary,TFI+SHA,,"공격력 + 75,체력 재생 +1.5,스태미너 재생 +1.5,기본 공격 추가 피해 + 20,",Laevateinn.png
Dainsleif,다인슬라이프,DAI,Two Handed Sword,Legendary,VBS+KAT,,"공격력 + 70,생명력 흡수 + 20%,",Dainsleif.png
Twin Swords,쌍칼,TSW,Dual Swords,Uncommon,KKN+RSW,,"공격력 +14,공격 속도 +10%,",Twin Swords.png
Florentine,피렌체식 쌍검,FRT,Dual Swords,Rare,TSW+BPR,,"공격력 +23,공격 속도 +10%,생명력 흡수 +10%,",Florentine.png
Divine Dual Swords,이천일류,DSW,Dual Swords,Epic,FRT+NAI,,"공격력 + 38,공격 속도 + 10%,생명력 흡수 + 18%,스킬 적중 시 치유 감소 -40%,",Divine Dual Swords.png
Starsteel Twin Swords,자웅일대검,SSW,Dual Swords,Epic,TSW+MST,,"공격력 + 55,공격 속도 + 50%,",Starsteel Twin Swords.png
Dioscuri,디오스쿠로이,DIO,Dual Swords,Epic,TSW+ION,,"공격력 + 38,공격 속도 + 50%,",Dioscuri.png
Lloigor & Zahr,로이거차르,LZA,Dual Swords,Epic,TSW+POI,,"공격력 +30,공격 속도 +20%,스킬 증폭 +36,",Lloigor _ Zahr.png
Walther PPK,발터 PPK,WPP,Pistol,Common,,"연못 5,모래사장 4,공장 4","공격력 +8, 이동 속도 +0.1",Walther PPK.png
Magnum-Python,매그넘-파이선,MPY,Pistol,Uncommon,WPP+OIL,,"공격력 +15,공격 속도 +10%,이동 속도 +0.1,",Magnum-Python.png
Beretta M92F,베레타 M92F,BRM,Pistol,Uncommon,WPP+LEA,,"공격력 +23,이동 속도 +0.1,",Beretta M92F.png
FN57,FN57,FN5,Pistol,Rare,BRM+LAS,,"공격력 +29,이동 속도 +0.1,시야 +2.5,",FN57.png
Double Revolver SP,더블 리볼버 SP,DSP,Pistol,Rare,MPY+BRM,,"공격력 +40,공격 속도 +10%,이동 속도 +0.1,",Double Revolver SP.png
Magnum-Anaconda,매그넘-아나콘다,MAN,Pistol,Rare,MPY+BPR,,"공격력 +43,공격 속도 +10%,이동 속도 +0.1,생명력 흡수 +10%,",Magnum-Anaconda.png
Devil's Marksman,마탄의 사수,DMA,Pistol,Epic,DSP+ASH,,"공격력 +30,공격 속도 + 10%,이동 속도 +0.1,스킬 증폭 + 40,Max Ammo: 7,",Devil_s Marksman.png
